N,Tweet,Negative,Neutral,Positive
0,Q la operen y castracion quimica,1,,
1,"hey cogan las vainas enserio, no saluden ni tengan contacto con gente que no conocen y mucho menos que vayan a sus casas.",,1,
2,Ley blindaje obliga a coronavirus a notificar a la Corte Suprema antes de infectar a diputado.,,1,
3,Update: No estoy tan muerto como pensaba que estaría. Yay.,,,1
4,Cuando veremos la pelea estelar de simon el misil con wayoyo 🤔,,1,
5,"Y uno, de iluso, pensando que iba a anunciar la llegada de las vacunas. Equipo Panamá!",1,,
6,¿Que es mas grande: 1 pizza de 14” ó 2 pizzas de 9”? La respuesta no es lo que piensas 😏,,,1
7,El Parlacen bloquea a Radio Panamá en Twitter #LaPrensaSecuestrada,,1,
8,Si ba tiene la oportunidad de reinvindicarse x lo qe iso estando en aqeyos años con las ratas tiene la oportunidad de qedar en la memoria de todos x mucho tiempo,1,,
9,‘Olviden las fiestas de fin de año’. La semana dejó casi 15 mil nuevos casos de coronavirus,1,,
10,"No es la forma correcta, pero una acción trae una reacción",,1,
11,El Palacio de Buckingham!!,,1,
12,Aquí en Santiago hay muchos que se están aprovechando de la situación y venden todo súper caro. Le cuadruplican el precio. Que feo. Pero la vida misma se encarga de pasarles la factura un día y después no pregunte x que les pasa algo.,1,,
13,Lo único que tengo en ese mundo son mis huevos y mi palabra,,,1
14,"hey que se vayan pa la pinga los dos, quien chucha se creen 🙄",1,,
15,A todos los estudiantes de derecho: la Wysnick es todo lo que NO deben ser.,,1,
16,Y el personal de salud que se coma un cable...,1,,
17,Estoy esperando desde las 4.,1,,
18,Este salvaje aprovecha para manosear a una joven detenida. Eso es abuso sexual,1,,
19,Jajaja es un inútil ese señor mojón beach... La cabeza nama le da para ver que se roba.,1,,
20,"Ya lo destituí Señor Presidente, me avisa por esta vía qué más quiere que haga.",1,,
21,JAJAJA total nos bañabamos juntos y ya ni me hablas 🙄,1,,
22,¿La corrupción a que hora entra? Es para pasarle el dato a un vice que conosco... 🤔,,1,
23,Me dijeron VE POR TODO... Y fui por ti 💖🥺,,1,
24,HOMBRE ORGULLOSO DE SUS RAICES Y CON GRAN SENTIDO SOCIAL.MIS RESPETOS SEÑOR PRESIDENTE.,,,1
25,El Dr. Payaso alistandose para dar opiniones que NO LE COMPETEN.,1,,
26,"Mientras sienta el latido de tu corazón, tienes cosas que contar, escribir y vivir. #BuenasNoches",,,1
27,Ruben con todos los millones que se gastan en publicidad. Es entonces que No hay Credibilidad.????,1,,
28,"Si Dios no edifica la casa, en vano trabajan lo que la edifica; si Dios no vela la ciudad en vano vela la guardia.",,1,
29,La señora tejiendo y el señor chill viendo sus noticias hahaha,,,1
30,Me amo con todo y mis defectos,,,1
31,Por eso es que los clubes siempre quedan mal los presidentes y eso por que cuando hay jugadores que ga todo es dificil echarlos por literal se les debe pero hay que ver por el club y la camiseta,,1,
32,saludos vecina tu eres hija o sobrina de mi hno calito aloma?,,1,
33,Un viernes lleno de ansiedad 🙃,1,,
34,Nombre de las radioemisoras y personajes nombrados en el gobierno que manejan estas cuentas? Solo se escuchan 2 voces y quien gana 5000.balboas cual es cual?,,1,
35,Eres una racista fuera de lugar. Basta.,1,,
36,El de suéter naranja era mi garra en la escuela!!! 🔥🔥,,,1
37,"si estuviésemos juntos de bad bunny, dura 2:53 minutos, pero duele toda la vida 🙂",,,1
38,"Los manes con ganas de estar en sus casas, pero deben estar vigilando a los chiquillos"" que no hacen caso 🤬""",1,,
39,"Añado que pecaron en considerar que por provenir de España no pasaba nada, las restricciones son de manera general sin excepciones... 👍",,1,
40,Me acabo de imaginar acostao con una taza de café negro disfrutando de la naturaleza 🥴😅,,,1
41,11 meses sin fumar gracias Mi Dios.,,,1
42,"I mean, la gente dice cuarentena yo digo lunes - jueves""""",,1,
43,"Ey la gente si critica hasta que cabrea ahora todos se creen doctores, sean agradecidos por Dios.",1,,
44,"Ante lluvia inesperada y gritos de su madre, joven de la localidad corre a recoger ropa tendida al sol.",,,1
45,Hay que tomar el te dsps de esta jofienda,,1,
46,5 horas haciendo esta vaina y son nama 15 miserables segundos JAJAJAJA,,,1
47,Esta foto es útil para hacer referencia de quien le está robando al país de sobra.,1,,
48,"Si tan solo el alcalde fuese así... A verdad, a esa hora está durmiendo...",1,,
49,Orgulloso de mi hija.,,,1
50,"Que va negro, véndele y luego que cobras, los hechas 👍😂",,,1
51,"Me acabo de crear una cuenta en Primevideo, hoy será un día de solo ver peliculas 😍",,,1
52,esta pieza desde el mes de septiembre del año pasado hay alguna respuesta?,,1,
53,Depende de que te este valiendo verga,1,,
54,"La señora embutido nos decía tercermundistas y que allá la gente SI era cool, ahora no entendí 🥴🥴🥴",1,,
55,Ver una película retro en una TV retro no tiene precio. #panama,,,1
56,_ Buenísimo! Me mató cuando le tuvieron que decir que no apuntara el control a la pantalla del proyector (que es de papel tipo banner) sino a la pc que es donde está el puerto USB haha,,,1
57,Faltaron en sus lindos gráficos el Punto de Coimeo y el Punto de Acoso...,1,,
58,Que gana de una playa o piscina 😿,,,1
59,"Igual a las figuras contemporáneas, las cabezas llenas de mierda.",1,,
60,Aveces las acciones dicen mas que mil palabras y las tuyas me dejaron claro cuánto me amabas.,,1,
61,"Buen día, TODA la Razón.!!! Bendiciones Mil.!!!",,,1
62,Nuevamente sin servicio todavia hasta el jueves 37 veces en 16 dias ultima vez 29 horas ahora 17 horas sin servicio.,1,,
63,Faltó en Chiricano (por si a acaso) 😂😂,,,1
64,Digo pruebas al menos que este involucrada la Defensoria en un caso y este no declare vulneradora de DDHH a una institución que la sea.,,1,
65,con un diablo tas comprometida 🔥🔥🔥,,,1
66,me kabrean SIGAN LAS NORMAS CHUCHA.. 😡,1,,
67,"La corte, pero caimán no come caimán.",,1,
68,Las tasas de mortalidad aumentan gradualmente según las edades,,1,
69,experimentando aveces salen cosas buenas,,,1
70,"Por qué no crean una página en YouTube para transmitir los partidos del Poderoso, así como lo hace el equipo de PO en el béisbol juvenil.",,1,
71,Muy atinada la posición de en cuanto a los derechos de lxs niñxs.,,1,
72,Y que quieres Miguel Antonio que hagan contrato para cobrar co....i....as.por lo menos cero corrup....on.,1,,
73,OTRO DESASTRE HEREDADO DEL GOBIERNO MÁS INCAPAZ DE LA HISTORIA PATRIA El ITSE marca pauta en la capacitación virtual,1,,
74,Aunque no lo creas 🤣🤣🤣🤣♥️😍,,,1
75,"Me odian sin conocerme, las invito a que me conozcan para que me odien con mas ganas😳",1,,
76,¿Usted tiene prueba de que no la golpearon? 🤔,,1,
77,"Ya vemos... $120k en sacrificio"" 👀""",1,,
78,Y van a cerrar los casinos? Perdonen pero es lo que más miedo me dá.,1,,
79,"Saludos Amiga, bendiciones, Dios te guarde... 🙏",,,1
80,Hasta yo voy 🙄🙄 aunque yo no cuento pero voy,1,,
81,"Si, pero enredaron más a la gente.",1,,
82,Yo me hubiese cagado en el proceso 🤣🤣,,,1
83,Maui creo que el doctor no opina igual 🤣,,,1
84,Lo irónico es que a los que siguen lucrando con la pandemia le siguen pagando su salario íntegro con tus gastos de representación y no rinden cuentas...,1,,
85,Hahahhaha sii!!! Lo escucharon 🤣,,,1
86,"O sea Sr que si yo quiero quebrantar las normas de la cuarentena aduzco motivos religiosos y puedo salir, que bien, a la calle todo el mundo... 😠",1,,
87,JAJAJAJA ay dio santo porque me hiciste así 😂☺️☺️,,,1
88,yo este año no fui a ningun baile #GUALLORA 😭😭😭,1,,
89," 2, son económicos en todos los sentidos y es cuestión de acostumbrarse solamente.",,1,
90,Intoxicado por las memorias y los sentimientos,1,,
91,Le texteo o no le texteo 🤔,,1,
92,¿Austeridad? ¿Conflicto de intereses? Esto sucediendo en plena pandemia...,1,,
93,Diosito gracias por darme a mi papito lindo 😍🙏🏻 siempre siempre hace todo lo posible por sus hijos 🥰,,,1
94,"man siempre que estoy pasando por un momento super sad y oscuro, siempre me digo a mi misma que solo es un momento y todo pasará, agradezco a Diosito la fortaleza que me dio! 😻🙏🏻",,,1
95,Si pero tu te pareces al dedo chiquito de mi pie,,,1
96,El horario de 11 esta 😍😍😍😍 Ojala siempre hubiesemos tenido a Tati 😢,,,1
97,Y por eso borro todo? Pero... pero.. a mi me gusta AS5. o.o ayura.,1,,
98,Toy bien feliz haciendole el control a las embarazadas 🥺🤭,,,1
99,"Gracias Donderis. Sabe, ahora más que nunca recuerdo cuando decía que debíamos estar preparados para casos así, supongo que nadie escarmienta por cabeza de otro.",,1,
100,Ese policía se comió como 4 comidas...,1,,
101,como consigo mi numero NPE me pueden ayudar?,,1,
102,"Si fuese así, ningun país podría compararse con otros en tema de economía, seguridad, competitividad, educación, etc etc...",,1,
103,Aquí pensando en los políticos y su capacidad para predecir el futuro...,,1,
104,"A ver ; ustedes desde la AN ya nombraron al CNE ? , no verdad ha,, ok aunque si le van hacer tanto caso como al TSJ que ya juramentaron , mejor q ni lo hagan..",1,,
105,Y pa acaba de jodé es de la mala...,1,,
106,#Seguimos #MovimientoOtroCamino,,1,
107,🤡🤡🤡 La salud de todos es más importante.,1,,
108,Jaja tu nivel de sarcasmo es admirable.,1,,
109,"el 25 ni tome, fue algo super tranqui para mi, prometo hacerlo el 31 🙂🤣",,1,
110,"pero al final, na de lo nuestro fue enserio!",1,,
111,Imagínate vivir en un pueblito de Finlandia y perderte de este show...,,,1
112,aguanta o soy yo o es que los solo están poniendo las carreras de los Rays y los Yankees No? Es que tienen preferencia por un solo equipo? Deberían ser Neutrales no?,,1,
113,La reunión de los diputados del PRD que terminó con pailazos y críticas por violar medidas de bioseguridad -,1,,
114,Los votos azules qe significan,,1,
115,Esto agiliza muchisimo tiempo ♥️♥️♥️,,,1
116,"Tu te imaginas todavía ser partidario después de todo lo que a pasado? Like, how dumb are you? Te gusta que te roben o que verga?",1,,
117,Diciendo las cosas como son. 👏👏👏,,,1
118," He intentado por varios medios resolver que honren una garantía y no me responden, lamento tener que escribir por acá",1,,
119,Hoy le lleve un detalle a mi abuela por su día y me da coraje no poder abrazarla o darle un beso,1,,
120,"Hey ese man, era un rudaso, no se dejaba de nadie, se conocía el Neco de La Guardia... 👍",,,1
121,Esta la botadera de personal fuck up 😖,1,,
122,La Tía está clarita en sus palabras. Lo más seguro es que caerá en oídos sordos...,1,,
123,"Si tan solo el alcalde fuese así... A verdad, a esa hora está durmiendo...",,1,
124," 2 cosas, 1. El tipo usa un cojin para verse más alto sentado. 2. Tiene un control de televisor en el escritorio, ¿o sea que le pagan por ver Netflix?",,1,
125,GRACIAS DIOS MIO Y A ESTOS ESMERADOS FANTASMAS PROFESIONALES DE LA LA SALUD.ELLOS,,,1
126,¿Y si va y confirma ud mismo? Y de paso se queda por allá..,1,,
